country,x,y
Aruba,1994,0.001851767
Aruba,1995,0.001873982
Aruba,1996,0.00202384
Aruba,1997,0.001699988
Aruba,1998,0.001724594
Aruba,1999,0.001261142
Aruba,2000,0.00120327
Aruba,2001,0.001370844
Aruba,2002,0.001722948
Aruba,2003,0.002077798
Aruba,2004,0.002014873
Aruba,2005,0.002141748
Aruba,2006,0.002647675
Aruba,2007,0.002922053
Aruba,2008,0.002983697
Aruba,2009,0.003916672
Aruba,2010,0.00378301
Aruba,2011,0.004410108
Afghanistan,2001,2.718432262
Afghanistan,2002,2.237168656
Afghanistan,2003,2.193836811
Afghanistan,2004,1.695922658
Afghanistan,2005,1.42473012
Afghanistan,2006,1.897871205
Afghanistan,2007,1.970593314
Afghanistan,2008,2.130239658
Afghanistan,2009,1.662857035
Afghanistan,2010,1.728279519
Afghanistan,2011,1.680947321
Afghanistan,2012,1.247582327
Angola,1993,41.8171957
Angola,1994,55.22221059
Angola,1995,55.37357586
Angola,1996,51.31062332
Angola,1997,48.50056247
Angola,1998,31.9696016
Angola,1999,49.96358608
Angola,2000,65.03671027
Angola,2001,52.57309083
Angola,2002,46.0537996
Angola,2003,49.15317657
Angola,2004,55.28645062
Angola,2005,71.60536177
Angola,2006,66.37878672
Angola,2007,60.62104368
Angola,2008,67.43752054
Angola,2009,38.72942382
Angola,2010,46.17956617
Angola,2011,45.52800151
Angola,2012,42.46325355
Albania,1993,5.924703962
Albania,1994,2.942333436
Albania,1995,2.527271733
Albania,1996,2.47865005
Albania,1997,2.195940769
Albania,1998,0.974810442
Albania,1999,1.031862581
Albania,2000,1.670759544
Albania,2001,1.154553848
Albania,2002,1.3175441
Albania,2003,1.203658213
Albania,2004,1.465543652
Albania,2005,1.770057282
Albania,2006,2.487619435
Albania,2007,3.481049413
Albania,2008,3.284329651
Albania,2009,2.034254503
Albania,2010,3.450129153
Albania,2011,5.285512253
Albania,2012,5.647743062
Andorra,1993,0
Andorra,1994,0
Andorra,1995,0
Andorra,1996,0
Andorra,1997,0
Andorra,1998,0
Andorra,1999,0
Andorra,2000,0
