country,x,y
Afghanistan,1993,0.090615852
Afghanistan,1994,0.080079985
Afghanistan,1995,0.072146977
Afghanistan,1996,0.065114798
Afghanistan,1997,0.058606527
Afghanistan,1998,0.054167558
Afghanistan,1999,0.041647373
Afghanistan,2000,0.03792461
Afghanistan,2001,0.030232274
Afghanistan,2002,0.016185612
Afghanistan,2003,0.025222764
Afghanistan,2004,0.030534565
Afghanistan,2005,0.040857766
Afghanistan,2006,0.052219589
Afghanistan,2007,0.075568812
Afghanistan,2008,0.145284418
Afghanistan,2009,0.235439186
Afghanistan,2010,0.290025232
Albania,1993,0.726062789
Albania,1994,0.601346953
Albania,1995,0.654537133
Albania,1996,0.636625313
Albania,1997,0.49036506
Albania,1998,0.560271437
Albania,1999,0.960164412
Albania,2000,0.978174681
Albania,2001,1.051950468
Albania,2002,1.229372684
Albania,2003,1.415471218
Albania,2004,1.38185531
Albania,2005,1.421353924
Albania,2006,1.302217499
Albania,2007,1.379077691
Albania,2008,1.417668106
Albania,2009,1.345103479
Albania,2010,1.499316163
Algeria,1993,2.929035648
Algeria,1994,3.00320905
Algeria,1995,3.230136294
Algeria,1996,3.235587368
Algeria,1997,2.906365551
Algeria,1998,3.474320431
Algeria,1999,2.945320314
Algeria,2000,2.772147555
Algeria,2001,2.621860338
Algeria,2002,2.789232068
Algeria,2003,2.803740228
Algeria,2004,2.674522946
Algeria,2005,3.154443155
Algeria,2006,3.012793702
Algeria,2007,3.200797999
Algeria,2008,3.20834736
Algeria,2009,3.424272074
Algeria,2010,3.331511849
Andorra,1993,null
Andorra,1994,null
Andorra,1995,6.374494942
Andorra,1996,6.618103743
Andorra,1997,7.152051802
Andorra,1998,7.58701547
Andorra,1999,8.011048
Andorra,2000,8.018180706
Andorra,2001,7.711485294
Andorra,2002,7.422144363
Andorra,2003,7.077746784
Andorra,2004,7.142904123
Andorra,2005,7.088127747
Andorra,2006,6.673217143
Andorra,2007,6.631021503
Andorra,2008,6.740724531
Andorra,2009,6.573271971
Andorra,2010,6.636720705
Angola,1993,0.510122619
Angola,1994,0.331307492
Angola,1995,0.909710423
Angola,1996,0.842542029
Angola,1997,0.577081314
Angola,1998,0.556293635
Angola,1999,0.677726241
Angola,2000,0.685212349
Angola,2001,0.676539905
Angola,2002,0.850821552
Angola,2003,0.587820499
Angola,2004,1.176297818
Angola,2005,1.157880358
Angola,2006,1.300402531
Angola,2007,1.419985486
Angola,2008,1.452228381
Angola,2009,1.470740834
Angola,2010,1.555965628
Antigua and Barbuda,1993,4.748535487
Antigua and Barbuda,1994,4.683621337
Antigua and Barbuda,1995,4.721298044
Antigua and Barbuda,1996,4.593864332
Antigua and Barbuda,1997,4.670561524
Antigua and Barbuda,1998,4.49690052
Antigua and Barbuda,1999,4.581278521
Antigua and Barbuda,2000,4.439238615
Antigua and Barbuda,2001,4.364812845
Antigua and Barbuda,2002,4.536211421
Antigua and Barbuda,2003,4.804484327
Antigua and Barbuda,2004,4.980995619
Antigua and Barbuda,2005,4.974311149
