country,x,y
Angola,1993,6.315789474
Angola,1994,6.282722513
Angola,1995,6.25
Angola,1996,10.01945525
Angola,1997,23.64746946
Angola,1998,19.57511381
Angola,1999,33.03370787
Angola,2000,36.88581315
Angola,2001,37.91208791
Angola,2002,35.2407932
Angola,2003,37.79448622
Angola,2004,21.59498208
Angola,2005,20.35175879
Angola,2006,19.38898972
Angola,2007,22.3811004
Angola,2008,24.59095284
Angola,2009,34.65681098
Angola,2010,32.04257662
Angola,2011,29.09219607
Albania,1993,4.824813326
Albania,1994,3.406762295
Albania,1995,4.757589488
Albania,1996,3.374957813
Albania,1997,3.009259259
Albania,1998,2.900552486
Albania,1999,2.09375579
Albania,2000,3.03925707
Albania,2001,3.710725894
Albania,2002,4.720564297
Albania,2003,2.143429487
Albania,2004,2.497324295
Albania,2005,1.286055484
Albania,2006,1.683562636
Albania,2007,2.517482517
Albania,2008,0
Albania,2009,0.019204916
Albania,2010,0.013192612
Albania,2011,0.024044241
Arab World,1993,84.16850737
Arab World,1994,84.35912912
Arab World,1995,84.60314468
Arab World,1996,84.35053569
Arab World,1997,84.94319839
Arab World,1998,85.12624003
Arab World,1999,86.23365422
Arab World,2000,87.20230925
Arab World,2001,89.13392069
Arab World,2002,90.74490375
Arab World,2003,91.3151119
Arab World,2004,91.48274928
Arab World,2005,90.38387401
Arab World,2006,89.9114216
Arab World,2007,89.98306262
Arab World,2008,90.363295
Arab World,2009,87.01395388
Arab World,2010,85.94183452
Arab World,2011,85.96804069
United Arab Emirates,1993,100
United Arab Emirates,1994,100
United Arab Emirates,1995,100
United Arab Emirates,1996,100
United Arab Emirates,1997,100
United Arab Emirates,1998,100
United Arab Emirates,1999,100
United Arab Emirates,2000,100
United Arab Emirates,2001,100
United Arab Emirates,2002,100
United Arab Emirates,2003,100
United Arab Emirates,2004,100
United Arab Emirates,2005,100
United Arab Emirates,2006,100
United Arab Emirates,2007,100
United Arab Emirates,2008,100
United Arab Emirates,2009,100
United Arab Emirates,2010,100
United Arab Emirates,2011,100
Argentina,1993,48.47992724
Argentina,1994,43.13463253
Argentina,1995,49.24270686
Argentina,1996,55.89357977
Argentina,1997,49.59887131
